"","palabra","n"
"1","apartamento",10489
"2","alquiler",9570
"3","26",7115
"4","mls",2659
"5","colinas",1064
"6","palos",1050
"7","grandes",1034
"8","mercedes",968
"9","santa",880
"10","bello",853
"11","alquila",837
"12","amoblado",814
"13","naranjos",671
"14","lomas",656
"15","urb",609
"16","yf",605
"17","valle",577
"18","arriba",561
"19","ubicado",556
"20","hermoso",514
"21","castellana",484
"22","alquilo",453
"23","monte",449
"24","altamira",447
"25","acogedor",441
"26","vista",436
"27","remodelado",434
"28","apto",433
"29","25",416
"30","cod",396
"31","tahona",372
"32","caracas",352
"33","chacao",340
"34","excelente",332
"35","equipado",327
"36","amplio",302
"37","hatillo",299
"38","m2",293
"39","2",286
"40","espectacular",283
"41","cómodo",268
"42","eduvigis",259
"43","cafetal",254
"44","alameda",253
"45","chorros",251
"46","samanes",250
"47","1",249
"48","rah",247
"49","norte",243
"50","boyera",236
"51","marin",231
"52","sol",229
"53","exclusivo",227
"54","moderno",222
"55","lagunita",220
"56","fe",208
"57","ph",203
"58","3",198
"59","florida",198
"60","escampadero",197
"61","solar",191
"62","totalmente",190
"63","terrazas",188
"64","avila",187
"65","ávila",185
"66","chuao",184
"67","san",178
"68","club",175
"69","comodo",175
"70","24",166
"71","ubicación",166
"72","oportunidad",165
"73","venta",164
"74","impecable",162
"75","sebucan",159
"76","maría",158
"77","dos",157
"78","pastrán",156
"79","josmary",155
"80","mg",155
"81","sanjuan",155
"82","rosa",150
"83","habitaciones",147
"84","lima",147
"85","urbina",145
"86","barbara",144
"87","yg",141
"88","lujo",140
"89","pozo",137
"90","presenta",135
"91","ac",132
"92","baños",132
"93","agua",130
"94","duplex",130
"95","estrenar",129
"96","solo",128
"97","caminos",127
"98","penthouse",126
"99","zona",125
"100","vigilancia",124
"101","cigarral",123
"102","bernardino",118
"103","terraza",114
"104","carmen",112
"105","medina",112
"106","ofrece",112
"107","cliente",111
"108","andreina",110
"109","castro",110
"110","confort",110
"111","cv",109
"112","directo",109
"113","jg",109
"114","2b",108
"115","calle",108
"116","listo",108
"117","campo",107
"118","3h",106
"119","alvarez",105
"120","humboldt",105
"121","piscina",105
"122","puestos",104
"123","tipo",104
"124","jr",103
"125","edificio",102
"126","k.f",102
"127","ideal",101
"128","07",100
"129","encantado",98
"130","estacionamiento",98
"131","ng",97
"132","6",96
"133","cerca",95
"134","anexo",94
"135","macaracuay",94
"136","marques",94
"137","actualizado",93
"138","negociable",93
"139","cocina",92
"140","country",92
"141","hab",91
"142","sur",91
"143","estupendo",90
"144","ls",90
"145","urbanización",90
"146","ft",89
"147","manzanares",89
"148","nobrega",87
"149","distrito",85
"150","paula",85
"151","at26",84
"152","cerrada",84
"153","elena",83
"154","mls26",83
"155","amc",82
"156","yanira",82
"157","seguridad",81
"158","s",80
"159","sebucán",80
"160","boleita",78
"161","habitación",78
"162","jessel",78
"163","baño",77
"164","gc",76
"165","monica",76
"166","sc",76
"167","rd",75
"168","c.h",74
"169","dúplex",74
"170","metropolitano",73
"171","house",72
"172","mp",72
"173","2h",71
"174","alegre",70
"175","resd",70
"176","vi",70
"177","2p",69
"178","metros",69
"179","cód",67
"180","ijp",67
"181","jm",67
"182","pent",67
"183","alta",66
"184","estudio",66
"185","flex",66
"186","grande",66
"187","lindo",66
"188","puesto",65
"189","chulavista",64
"190","elegante",64
"191","manuel",64
"192","db",63
"193","es26",63
"194","lujoso",63
"195","belkis",61
"196","comodidad",61
"197","completamente",61
"198","mb",61
"199","privilegiada",61
"200","rg",61
"201","rosal",61
"202","espacioso",59
"203","iluminado",59
"204","4",58
"205","av",58
"206","baja",58
"207","privada",58
"208","1b",57
"209","guaicay",57
"210","gonzalez",56
"211","paraíso",55
"212","1h",54
"213","hogar",54
"214","planta",54
"215","sabana",54
"216","y.t",54
"217","conjunto",53
"218","d26",53
"219","hermosa",53
"220","pm",53
"221","sq",53
"222","1p",52
"223","carlos",52
"224","ciudad",52
