municipios,url_municipio,zona_raw,zona_clean,url_zona,indice_vuelta_municipio,cantidad_publicaciones_zona,cantidad_vueltas_zona_sub,titulo,precio,datos,location,url_publicacion,indice_vuelta_zona,indice_vuelta_zona_sub
Caracas - Baruta (central),https://listado.mercadolibre.com.ve/inmuebles/apartamentos/alquiler/distrito-capital/caracas---baruta-central/_FiltersAvailableSidebar?filter=neighborhood,Cerro Verde,cerro-verde,cerro-verde,1,5,1,"Alquiler Apartamento, Cerro Verde, Calle Cerrada Con Vigilancia, 108, Mts, 1000$",US$1.000,"3 habitaciones
2 baños
108 m² cubiertos","Cerro Verde, Caracas, Cerro Verde, Caracas - Baruta (central), Distrito Capital",https://apartamento.mercadolibre.com.ve/MLV-775453087-alquiler-apartamento-cerro-verde-calle-cerrada-con-vigilancia-108-mts-1000-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=1&type=item&tracking_id=2d5da8cd-aa28-473d-8481-ef4c6add9b38&price_drop=not_apply,1,1
Caracas - Baruta (central),https://listado.mercadolibre.com.ve/inmuebles/apartamentos/alquiler/distrito-capital/caracas---baruta-central/_FiltersAvailableSidebar?filter=neighborhood,Cerro Verde,cerro-verde,cerro-verde,1,5,1,K.f Acogedor Apartamento En Alquiler Cerro Verde #26-18531,US$1.000,"3 habitaciones
2 baños
108 m² cubiertos","Cerro Verde, Caracas, Cerro Verde, Caracas - Baruta (central), Distrito Capital",https://apartamento.mercadolibre.com.ve/MLV-1008580298-kf-acogedor-apartamento-en-alquiler-cerro-verde-26-18531-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=2&type=item&tracking_id=2d5da8cd-aa28-473d-8481-ef4c6add9b38&price_drop=not_apply,1,1
Caracas - Baruta (central),https://listado.mercadolibre.com.ve/inmuebles/apartamentos/alquiler/distrito-capital/caracas---baruta-central/_FiltersAvailableSidebar?filter=neighborhood,Cerro Verde,cerro-verde,cerro-verde,1,5,1,Bello Y Cómodo Apartamento En Alquiler Ubicado En Los Naranjos Humbolt Cod 26-17762 Myp,US$750,"2 habitaciones
2 baños
65 m² cubiertos","Lomas Del Sol, Caracas, Cerro Verde, Caracas - Baruta (central), Distrito Capital",https://apartamento.mercadolibre.com.ve/MLV-1005585572-bello-y-comodo-apartamento-en-alquiler-ubicado-en-los-naranjos-humbolt-cod-26-17762-myp-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=3&type=item&tracking_id=2d5da8cd-aa28-473d-8481-ef4c6add9b38&price_drop=not_apply,1,1
Caracas - Baruta (central),https://listado.mercadolibre.com.ve/inmuebles/apartamentos/alquiler/distrito-capital/caracas---baruta-central/_FiltersAvailableSidebar?filter=neighborhood,Cerro Verde,cerro-verde,cerro-verde,1,5,1,Apartamento En Alquiler En Cerro Verde Ana Perez 26-18531,US$1.000,"3 habitaciones
2 baños
108 m² cubiertos","Cerro Verde, Caracas, Cerro Verde, Caracas - Baruta (central), Distrito Capital",https://apartamento.mercadolibre.com.ve/MLV-775668003-apartamento-en-alquiler-en-cerro-verde-ana-perez-26-18531-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=4&type=item&tracking_id=2d5da8cd-aa28-473d-8481-ef4c6add9b38&price_drop=not_apply,1,1
Caracas - Baruta (central),https://listado.mercadolibre.com.ve/inmuebles/apartamentos/alquiler/distrito-capital/caracas---baruta-central/_FiltersAvailableSidebar?filter=neighborhood,Cerro Verde,cerro-verde,cerro-verde,1,5,1,"Apartamento En Alquiler En Cerro Verde, Distrito Metropolitano Ft 26-18531",US$1.000,"3 habitaciones
2 baños
108 m² cubiertos","Cerro Verde, Caracas, Cerro Verde, Caracas - Baruta (central), Distrito Capital",https://apartamento.mercadolibre.com.ve/MLV-775645037-apartamento-en-alquiler-en-cerro-verde-distrito-metropolitano-ft-26-18531-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=item&tracking_id=2d5da8cd-aa28-473d-8481-ef4c6add9b38&price_drop=not_apply,1,1
Caracas - Baruta (central),https://listado.mercadolibre.com.ve/inmuebles/apartamentos/alquiler/distrito-capital/caracas---baruta-central/_FiltersAvailableSidebar?filter=neighborhood,Clnas. de Valle Arriba,clnas-de-valle-arriba,clnas-de-valle-arriba,1,438,9,"Apartamento En Alquiler, Urb. Colinas De Valle Arriba",US$1.500,"3 habitaciones
4 baños
151 m² cubiertos","F49G+RCJ, Caracas 1080, Miranda, Venezuela, Clnas. De Valle Arriba, Caracas - Baruta (central), Distrito Capital",https://apartamento.mercadolibre.com.ve/MLV-970966944-apartamento-en-alquiler-urb-colinas-de-valle-arriba-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=1&type=item&tracking_id=f0f5784a-d6cf-43bc-99da-b580973083b7&price_drop=not_apply,2,1
Caracas - Baruta (central),https://listado.mercadolibre.com.ve/inmuebles/apartamentos/alquiler/distrito-capital/caracas---baruta-central/_FiltersAvailableSidebar?filter=neighborhood,Clnas. de Valle Arriba,clnas-de-valle-arriba,clnas-de-valle-arriba,1,438,9,Ls Alquila Apartamento Colinas De Valle Arriba,US$1.900,"3 habitaciones
2 baños
152 m² cubiertos","Colinas De Valle Arriba, Caracas, Clnas. De Valle Arriba, Caracas - Baruta (central), Distrito Capital",https://apartamento.mercadolibre.com.ve/MLV-1007202990-ls-alquila-apartamento-colinas-de-valle-arriba-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=2&type=item&tracking_id=f0f5784a-d6cf-43bc-99da-b580973083b7&price_drop=not_apply,2,1
Caracas - Baruta (central),https://listado.mercadolibre.com.ve/inmuebles/apartamentos/alquiler/distrito-capital/caracas---baruta-central/_FiltersAvailableSidebar?filter=neighborhood,Clnas. de Valle Arriba,clnas-de-valle-arriba,clnas-de-valle-arriba,1,438,9,Se Alquila Bello Apartamento Ph En Colinas De Valle Arriba Mls 26-17689,US$9.000,"5 habitaciones
5 baños
633 m² cubiertos","Colinas De Valle Arriba, Caracas, Clnas. De Valle Arriba, Caracas - Baruta (central), Distrito Capital",https://apartamento.mercadolibre.com.ve/MLV-1000242748-se-alquila-bello-apartamento-ph-en-colinas-de-valle-arriba-mls-26-17689-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=3&type=item&tracking_id=f0f5784a-d6cf-43bc-99da-b580973083b7&price_drop=not_apply,2,1
Caracas - Baruta (central),https://listado.mercadolibre.com.ve/inmuebles/apartamentos/alquiler/distrito-capital/caracas---baruta-central/_FiltersAvailableSidebar?filter=neighborhood,Clnas. de Valle Arriba,clnas-de-valle-arriba,clnas-de-valle-arriba,1,438,9,Majestuoso Apartamento / Elegante / Moderno / Lujo Y Confort / 2340 Mts / Alquiler Mls 26-6117 Colinas De Valle Arriba,US$8.000,"3 habitaciones
5 baños
2.340 m² cubiertos","Caracas, Clnas. De Valle Arriba, Caracas - Baruta (central), Distrito Capital",https://apartamento.mercadolibre.com.ve/MLV-990999664-majestuoso-apartamento-elegante-moderno-lujo-y-confort-2340-mts-alquiler-mls-26-6117-colinas-de-valle-arriba-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=4&type=item&tracking_id=f0f5784a-d6cf-43bc-99da-b580973083b7&price_drop=not_apply,2,1
Caracas - Baruta (central),https://listado.mercadolibre.com.ve/inmuebles/apartamentos/alquiler/distrito-capital/caracas---baruta-central/_FiltersAvailableSidebar?filter=neighborhood,Clnas. de Valle Arriba,clnas-de-valle-arriba,clnas-de-valle-arriba,1,438,9,Ls Alquila Pent House Colinas De Valle Arriba,US$9.000,"5 habitaciones
5 baños
633 m² cubiertos","Valle Arriba, Caracas, Clnas. De Valle Arriba, Caracas - Baruta (central), Distrito Capital",https://apartamento.mercadolibre.com.ve/MLV-775509451-ls-alquila-pent-house-colinas-de-valle-arriba-_JM#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=5&type=item&tracking_id=f0f5784a-d6cf-43bc-99da-b580973083b7&price_drop=not_apply,2,1
